date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:56:44	250333/250333	---MC-	200	added ('OK')	text/html	date:Fri,%2007%20Aug%202026%2022:45:40%20GMT	https://apexmedicaloman.com/	C:/My%20Web%20Sites/Apex%20Medical%20Center/apexmedicaloman.com/index.html	(from )
01:56:45	2050/2050	---MC-	200	added ('OK')	application/json	date:Fri,%2007%20Aug%202026%2022:56:46%20GMT	https://apexmedicaloman.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fapexmedicaloman.com%2F	C:/My%20Web%20Sites/Apex%20Medical%20Center/apexmedicaloman.com/wp-json/oembed/1.0/embed49b7.json	(from https://apexmedicaloman.com/)
01:56:46	1053/1053	---MC-	200	added ('OK')	application/rss+xml	etag:%22c26ad99d3e0a89a29bb226f4fc480136%22	https://apexmedicaloman.com/feed/	C:/My%20Web%20Sites/Apex%20Medical%20Center/apexmedicaloman.com/feed/index.html	(from https://apexmedicaloman.com/)
01:56:47	2190/2190	---MC-	200	added ('OK')	text/xml	date:Fri,%2007%20Aug%202026%2022:56:48%20GMT	https://apexmedicaloman.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fapexmedicaloman.com%2F&format=xml	C:/My%20Web%20Sites/Apex%20Medical%20Center/apexmedicaloman.com/wp-json/oembed/1.0/embed47e0	(from https://apexmedicaloman.com/)
01:56:47	20307/20307	---M--	200	added ('OK')	text/css	date:Fri,%2006%20Mar%202026%2009:31:42%20GMT	https://apexmedicaloman.com/wp-content/plugins/photo-gallery/booster/assets/css/global.css?ver=1.0.0	C:/My%20Web%20Sites/Apex%20Medical%20Center/apexmedicaloman.com/wp-content/plugins/photo-gallery/booster/assets/css/global8a54.css	(from https://apexmedicaloman.com/)
01:56:48	54666/54666	---M--	200	added ('OK')	text/css	date:Sat,%2018%20Apr%202026%2007:33:12%20GMT	https://apexmedicaloman.com/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=4.0.2	C:/My%20Web%20Sites/Apex%20Medical%20Center/apexmedicaloman.com/wp-content/plugins/elementor/assets/css/frontend.min05da.css	(from https://apexmedicaloman.com/)
01:56:48	16076/16076	---M--	200	added ('OK')	text/css	date:Thu,%2006%20Aug%202026%2020:12:32%20GMT	https://apexmedicaloman.com/wp-content/uploads/elementor/css/post-738.css?ver=1786047152	C:/My%20Web%20Sites/Apex%20Medical%20Center/apexmedicaloman.com/wp-content/uploads/elementor/css/post-738cf70.css	(from https://apexmedicaloman.com/)
01:56:49	20386/20386	---M--	200	added ('OK')	text/css	date:Thu,%2006%20Aug%202026%2020:12:32%20GMT	https://apexmedicaloman.com/wp-content/uploads/elementor/css/post-1863.css?ver=1786047152	C:/My%20Web%20Sites/Apex%20Medical%20Center/apexmedicaloman.com/wp-content/uploads/elementor/css/post-1863cf70.css	(from https://apexmedicaloman.com/)
01:56:49	45749/45749	---M--	200	added ('OK')	text/css	date:Sat,%2028%20Feb%202026%2005:29:25%20GMT	https://apexmedicaloman.com/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.12.3	C:/My%20Web%20Sites/Apex%20Medical%20Center/apexmedicaloman.com/wp-content/themes/astra/assets/css/minified/main.min5690.css	(from https://apexmedicaloman.com/)
01:56:50	32075/32075	---M--	200	added ('OK')	text/css	date:Mon,%2020%20Apr%202026%2011:20:11%20GMT	https://apexmedicaloman.com/wp-content/plugins/float-menu/public/assets/css/style.min.css?ver=7.2.3	C:/My%20Web%20Sites/Apex%20Medical%20Center/apexmedicaloman.com/wp-content/plugins/float-menu/public/assets/css/style.mine374.css	(from https://apexmedicaloman.com/)
